Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
chassis,0.0876850301013811,0.140930562484149,0.183057667225338,0,0,0,0.173805362488558,0.00106921691811417,-1.35887791349452E-09,-1.52269854390182E-09,0.00192269791562951,2.09539461739173E-05,0.00102907706280709,0,0,0,0,0,0,package://build_quad_bot/meshes/chassis.STL,1,1,1,1,0,0,0,0,0,0,package://build_quad_bot/meshes/chassis.STL,,Quad_bod_long_legs-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
front_right_rotor,-1.25975532783151E-09,0.00758907041283063,-1.43444806033344E-09,0,0,0,0.00164003513463875,5.40989448385698E-08,1.62773458690548E-14,-1.39327498484125E-09,1.34862675290348E-07,1.20433157779553E-14,1.65487904386226E-07,0,0,0,0,0,0,package://build_quad_bot/meshes/front_right_rotor.STL,1,1,1,0.32,0,0,0,0,0,0,package://build_quad_bot/meshes/front_right_rotor.STL,,rotor_motor.step-3,Origin_front_right_rotor_joint,Axis_front_right_rotor_joint,front_right_rotor_joint,continuous,-0.025452,-0.30639,0.14234,1.5708,0,0,chassis,0,1,0,1,1000000,,,,,,,,,,
front_left_rotor,-1.25975610498763E-09,0.00758907041283038,-1.43444800482229E-09,0,0,0,0.00164003513463868,5.40989448385666E-08,1.62773563473984E-14,-1.39327498484251E-09,1.34862675290317E-07,1.20433153891088E-14,1.65487904386192E-07,0,0,0,0,0,0,package://build_quad_bot/meshes/front_left_rotor.STL,1,1,1,0.32,0,0,0,0,0,0,package://build_quad_bot/meshes/front_left_rotor.STL,,rotor_motor.step-1,Origin_front_left_rotor_joint,Axis_front_left_rotor_joint,front_left_rotor_joint,continuous,0.20082,-0.30639,0.14234,1.5708,0,-0.049308,chassis,0,1,0,1,1000000,,,,,,,,,,
rear_left_rotor,-1.25975604947648E-09,0.00758907041283044,-1.43444803257786E-09,0,0,0,0.0016400351346387,5.40989448385674E-08,1.62773550818133E-14,-1.39327498484219E-09,1.34862675290325E-07,1.20433154334498E-14,1.65487904386201E-07,0,0,0,0,0,0,package://build_quad_bot/meshes/rear_left_rotor.STL,1,1,1,0.32,0,0,0,0,0,0,package://build_quad_bot/meshes/rear_left_rotor.STL,,rotor_motor.step-4,Origin_rear_left_rotor_joint,Axis_rear_left_rotor_joint,rear_left_rotor_joint,continuous,0.20082,-0.080116,0.14234,1.5708,0,0,chassis,0,1,0,1,1000000,,,,,,,,,,
rear_right_rotor,-1.25975594886252E-09,0.00758907041283052,-1.43444803257786E-09,0,0,0,0.00164003513463871,5.40989448385681E-08,1.62773533793576E-14,-1.39327498484203E-09,1.34862675290331E-07,1.20433154909612E-14,1.65487904386207E-07,0,0,0,0,0,0,package://build_quad_bot/meshes/rear_right_rotor.STL,1,1,1,0.32,0,0,0,0,0,0,package://build_quad_bot/meshes/rear_right_rotor.STL,,rotor_motor.step-2,Origin_rear_right_rotor_joint,Axis_rear_right_rotor_joint,rear_right_rotor_joint,continuous,-0.025452,-0.080116,0.14234,1.5708,0,0,chassis,0,1,0,1,1000000,,,,,,,,,,
arm_link_1,-6.96664947952286E-15,0.0268207413750809,-3.26717819465472E-11,0,0,0,0.016320901770503,3.85917948282325E-06,-6.63463056448443E-19,-7.59931755194753E-17,9.82136206172885E-07,-8.56722189368362E-15,3.84919336414577E-06,0,0,0,0,0,0,package://build_quad_bot/meshes/arm_link_1.STL,1,1,1,1,0,0,0,0,0,0,package://build_quad_bot/meshes/arm_link_1.STL,,arm_link_1-1,Origin_arm_joint_1,Axis_arm_joint_1,arm_joint_1,revolute,0.087685,-0.19325,0.10169,1.5708,0,-0.067967,chassis,0,1,0,1,10,-1,1,,,,,,,,
arm_link_2,2.62121047089892E-10,0.0171389611821341,-1.13826142955631E-10,0,0,0,0.0164917144290169,1.3241589794406E-06,3.70791524779322E-16,-1.57164316385075E-21,1.488681538395E-06,1.12267046495263E-15,1.99502964721743E-06,0,0,0,0,0,0,package://build_quad_bot/meshes/arm_link_2.STL,1,1,1,0.32,0,0,0,0,0,0,package://build_quad_bot/meshes/arm_link_2.STL,,arm_pt_2_ee.step-1,Origin_arm_joint_2,Axis_arm_joint_2,arm_joint_2,revolute,0,0.01,0,1.8591,0,0,arm_link_1,1,0,0,1,10,-1,1,,,,,,,,
arm_link_3,-1.43475342717636E-10,4.2751363560356E-10,-0.00589223823493104,0,0,0,0.00431995775425361,2.56959987327941E-07,-5.88728681478884E-15,-7.34693931103341E-15,3.09184579804664E-07,2.80460988043155E-14,3.32305583802294E-07,0,0,0,0,0,0,package://build_quad_bot/meshes/arm_link_3.STL,1,1,1,0.32,0,0,0,0,0,0,package://build_quad_bot/meshes/arm_link_3.STL,,gripper_body.step-1,Origin_arm_joint_3,Axis_arm_joint_3,arm_joint_3,revolute,0,0.037926,0,-1.5708,0.18835,-3.1416,arm_link_2,0,0,1,1,10,-10000,10000,,,,,,,,
left_finger,0.00161872235886462,0.0187141743932983,-1.02999999956888E-06,0,0,0,0.00261369562305156,3.64435595797184E-07,8.26652357401017E-09,5.85643873687544E-22,3.68591080594805E-08,-1.21595550045295E-22,3.64980509944129E-07,0,0,0,0,0,0,package://build_quad_bot/meshes/left_finger.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://build_quad_bot/meshes/left_finger.STL,,gripper_finger.step-4,Origin_left_finger_joint,Axis_left_finger_joint,left_finger_joint,revolute,-0.0073611,0,-0.013203,-1.5708,0.087153,3.1416,arm_link_3,0,0,1,1,10,-1,1,,,,,,,,
right_finger,0.0016187,0.018714,-1.03E-06,0,0,0,0.0026137,3.6444E-07,8.2665E-09,4.4068E-22,3.6859E-08,-9.4299E-23,3.6498E-07,0,0,0,0,0,0,package://build_quad_bot/meshes/right_finger.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://build_quad_bot/meshes/right_finger.STL,,gripper_finger.step-5,Origin_right_finger_joint,Axis_right_finger_joint,right_finger_joint,revolute,0.0073611,0,-0.013203,-1.5708,0.048185,0,arm_link_3,0,0,1,1,10,-1,1,,,,,,,,
